issuing_bank_name,issuing_bank_address,issuing_bank_swift,issuing_bank_tel,issuing_bank_account_number,issuing_bank_account_name,issuing_bank_officer,issuing_bank_officer_contact,confirming_bank_name,confirming_bank_address,confirming_bank_swift,confirming_bank_tel,confirming_bank_account_number,confirming_bank_account_name,confirming_bank_officer,confirming_bank_officer_contact,buyer_signatory_name,buyer_signatory_position,buyer_signatory_date,buyer_signature,seller_signatory_name,seller_signatory_position,seller_signatory_date,seller_signature
HSBC,"13 Finance Ave, Tokyo, India",HSBCDEXX,+871-1121526,59917603,Sophia Costa,Sarah Lee,+44-772933887,HSBC,"179 Trade Tower, Hamburg, UK",HSBCGBXX,+404-7798511,97391322,Ahmed Martinez,Linda Williams,+44-526375132,Sophia Costa,Managing Partner,2024-12-11,Signed Electronically,Ahmed Martinez,Managing Director,2024-12-15,Signed Electronically
Standard Chartered,"114 Finance Ave, Dubai, Turkey",STANGBXX,+202-5850476,94229327,David Costa,Fatima Khan,+65-907322406,Emirates National Bank,"141 Trade Tower, Rotterdam, USA",EMIRSGXX,+713-9461968,94951546,James Garcia,Nadia Nakamura,+971-159827862,David Costa,Procurement Manager,2025-08-08,Signed Electronically,James Garcia,Sales Director,2025-08-10,Signed Electronically
Union Credit Suisse,"75 Finance Ave, Singapore, India",UNIOSGXX,+275-8735249,13437981,James Ivanov,Hassan Lee,+1-254431561,Singapore Intercontinental Bank,"64 Trade Tower, Geneva, Qatar",SINGGBXX,+955-7993285,33472931,Emma Singh,John Muller,+1-382050405,James Ivanov,Managing Partner,2025-03-21,Signed Electronically,Emma Singh,Sales Director,2025-03-25,Signed Electronically
Standard Chartered,"193 Finance Ave, Istanbul, China",STANUSXX,+589-5086490,28918826,Michael Fernandez,Ali Costa,+971-977392281,Citibank,"170 Trade Tower, Mumbai, Netherlands",CITISGXX,+234-2164486,99020936,Laura Lee,Ahmed Diop,+971-212126840,Michael Fernandez,Procurement Manager,2025-05-14,Signed Electronically,Laura Lee,Sales Director,2025-05-16,Signed Electronically
Emirates National Bank,"161 Finance Ave, Mumbai, Japan",EMIRSGXX,+143-9136482,75920638,David Chen,Laura Silva,+971-135279396,HSBC,"181 Trade Tower, Mumbai, UK",HSBCSGXX,+780-3405974,45478063,Hassan Brown,Emma Williams,+65-399677419,David Chen,Procurement Manager,2024-10-29,Signed Electronically,Hassan Brown,Managing Director,2024-11-03,Signed Electronically
Emirates National Bank,"14 Finance Ave, Dubai, Egypt",EMIRDEXX,+147-8324336,42810140,Laura Brown,Emma Muller,+65-929769040,EuroCommerce Bank AG,"151 Trade Tower, Abu Dhabi, Singapore",EURODEXX,+341-8370637,57228585,Laura Petrov,Hassan Haddad,+1-891104507,Laura Brown,Managing Partner,2025-02-05,Signed Electronically,Laura Petrov,Sales Director,2025-02-07,Signed Electronically
Singapore Intercontinental Bank,"26 Finance Ave, Hong Kong, Germany",SINGSGXX,+110-8189324,27905114,Ali Costa,Sophia Singh,+971-911651250,EuroCommerce Bank AG,"24 Trade Tower, Dubai, India",EURODEXX,+556-2808511,64927802,Laura Williams,Ravi Petrov,+65-616818082,Ali Costa,Managing Partner,2025-10-16,Signed Electronically,Laura Williams,Export Manager,2025-10-19,Signed Electronically
Singapore Intercontinental Bank,"14 Finance Ave, Istanbul, UAE",SINGAEXX,+866-7291202,26107746,Linda Muller,Sarah Singh,+65-230112729,Emirates National Bank,"164 Trade Tower, Istanbul, UAE",EMIRGBXX,+927-6339059,50059572,John Muller,Hassan Smith,+65-372850581,Linda Muller,Trade Director,2025-04-02,Signed Electronically,John Muller,Export Manager,2025-04-07,Signed Electronically
Singapore Intercontinental Bank,"192 Finance Ave, Tokyo, UAE",SINGGBXX,+459-3606680,57532326,Ali Smith,Ali Lee,+1-922695825,Singapore Intercontinental Bank,"43 Trade Tower, London, Egypt",SINGUSXX,+964-2631446,96768655,Nadia Haddad,Ahmed Smith,+1-827784524,Ali Smith,CEO,2025-08-22,Signed Electronically,Nadia Haddad,Managing Director,2025-08-26,Signed Electronically
BNP Paribas,"179 Finance Ave, Rotterdam, UAE",BNPAEXX,+272-1623504,47035289,Omar Khan,Yuki Smith,+1-371920205,First Global Bank & Trust,"193 Trade Tower, Hong Kong, UAE",FIRSAEXX,+103-6133103,29430757,Michael Diop,Yuki Costa,+65-611333490,Omar Khan,CEO,2025-06-06,Signed Electronically,Michael Diop,Managing Director,2025-06-11,Signed Electronically
Standard Chartered,"167 Finance Ave, London, Japan",STANDEXX,+526-2618952,92398548,Hassan Haddad,Sophia Petrov,+971-727015717,Standard Chartered,"42 Trade Tower, Rotterdam, UK",STANDEXX,+325-9894310,21384752,Omar Khan,Michael Ibrahim,+65-891510054,Hassan Haddad,Procurement Manager,2025-05-16,Signed Electronically,Omar Khan,Export Manager,2025-05-17,Signed Electronically
Singapore Intercontinental Bank,"137 Finance Ave, Singapore, USA",SINGGBXX,+253-1615924,12985633,Ali Williams,Carlos Nakamura,+44-710159530,Deutsche Bank,"153 Trade Tower, Abu Dhabi, China",DEUTGBXX,+931-6407667,39612551,Linda Ibrahim,Laura Ibrahim,+971-799485244,Ali Williams,Procurement Manager,2025-05-10,Signed Electronically,Linda Ibrahim,Sales Director,2025-05-12,Signed Electronically
Union Credit Suisse,"179 Finance Ave, Singapore, Egypt",UNIOGBXX,+403-8866171,49257591,Hassan Singh,Nadia Martinez,+1-963421969,Deutsche Bank,"179 Trade Tower, Cairo, USA",DEUTSGXX,+439-8221389,96539706,Ali Chen,Linda Brown,+971-382100832,Hassan Singh,Managing Partner,2025-03-24,Signed Electronically,Ali Chen,Export Manager,2025-03-25,Signed Electronically
Standard Chartered,"49 Finance Ave, Houston, China",STANGBXX,+752-3356088,66665612,Laura Williams,Emma Petrov,+1-861981650,Singapore Intercontinental Bank,"181 Trade Tower, Cairo, Egypt",SINGAEXX,+954-3241985,66274777,Omar Ibrahim,Michael Ibrahim,+1-267272209,Laura Williams,Managing Partner,2025-05-22,Signed Electronically,Omar Ibrahim,Sales Director,2025-05-24,Signed Electronically
Standard Chartered,"79 Finance Ave, New York, Qatar",STANSGXX,+170-5715636,77062774,Hassan Diop,Emma Williams,+971-498877997,HSBC,"84 Trade Tower, Dubai, UAE",HSBCDEXX,+298-9074216,20750189,Linda Ivanov,John Singh,+971-875271927,Hassan Diop,Trade Director,2025-06-16,Signed Electronically,Linda Ivanov,Export Manager,2025-06-17,Signed Electronically
Singapore Intercontinental Bank,"178 Finance Ave, Abu Dhabi, Singapore",SINGGBXX,+626-9020835,99611300,Yuki Johnson,Yuki Williams,+44-774525487,BNP Paribas,"188 Trade Tower, Rotterdam, UAE",BNPAEXX,+846-3678507,13693314,John Garcia,David Costa,+65-797293276,Yuki Johnson,Trade Director,2025-03-24,Signed Electronically,John Garcia,Managing Director,2025-03-28,Signed Electronically
Deutsche Bank,"34 Finance Ave, London, Switzerland",DEUTDEXX,+843-9626455,31362717,Yuki Smith,Sophia Muller,+65-324317461,Emirates National Bank,"21 Trade Tower, London, USA",EMIRSGXX,+587-2146070,39208530,Laura Costa,John Brown,+65-466219614,Yuki Smith,Trade Director,2025-05-29,Signed Electronically,Laura Costa,Sales Director,2025-05-31,Signed Electronically
Emirates National Bank,"91 Finance Ave, Hong Kong, Germany",EMIRAEXX,+775-6869947,95215608,Ali Petrov,Emma Singh,+65-490728045,First Global Bank & Trust,"181 Trade Tower, Abu Dhabi, Japan",FIRSSGXX,+999-3488711,86082463,Omar Martinez,Ahmed Lee,+1-393446622,Ali Petrov,Procurement Manager,2025-01-15,Signed Electronically,Omar Martinez,Managing Director,2025-01-20,Signed Electronically
Citibank,"24 Finance Ave, Istanbul, Netherlands",CITIDEXX,+419-3678950,51510542,Omar Diop,Michael Martinez,+971-683392401,Singapore Intercontinental Bank,"74 Trade Tower, Houston, UK",SINGAEXX,+445-6405257,95929253,Ahmed Martinez,Ali Silva,+65-813992412,Omar Diop,CEO,2025-05-20,Signed Electronically,Ahmed Martinez,Sales Director,2025-05-21,Signed Electronically
HSBC,"90 Finance Ave, Houston, UAE",HSBCGBXX,+207-8579653,45126277,George Fernandez,Nadia Smith,+971-767007056,Deutsche Bank,"157 Trade Tower, Abu Dhabi, UAE",DEUTGBXX,+375-9544861,33413363,James Ibrahim,George Ivanov,+65-207605003,George Fernandez,Trade Director,2024-11-25,Signed Electronically,James Ibrahim,Managing Director,2024-11-30,Signed Electronically
First Global Bank & Trust,"20 Finance Ave, Mumbai, Qatar",FIRSAEXX,+218-2657021,55534042,Nadia Chen,Laura Brown,+44-808745146,EuroCommerce Bank AG,"32 Trade Tower, Istanbul, USA",EURODEXX,+418-5284275,90430647,John Ibrahim,Fatima Silva,+1-105762161,Nadia Chen,CEO,2024-12-10,Signed Electronically,John Ibrahim,Sales Director,2024-12-13,Signed Electronically
EuroCommerce Bank AG,"151 Finance Ave, Abu Dhabi, India",EUROAEXX,+734-1731481,54994416,Ahmed Ivanov,John Garcia,+1-212932219,Standard Chartered,"145 Trade Tower, Singapore, UAE",STANDEXX,+596-5437104,52703471,Omar Lee,Nadia Chen,+44-544652415,Ahmed Ivanov,CEO,2025-04-02,Signed Electronically,Omar Lee,Sales Director,2025-04-04,Signed Electronically
Singapore Intercontinental Bank,"80 Finance Ave, Hamburg, Egypt",SINGSGXX,+157-8820716,94126726,John Smith,Yuki Khan,+65-349563775,First Global Bank & Trust,"15 Trade Tower, New York, UAE",FIRSAEXX,+477-4937675,78471818,Linda Johnson,James Chen,+65-388266398,John Smith,Managing Partner,2025-03-06,Signed Electronically,Linda Johnson,Sales Director,2025-03-09,Signed Electronically
Union Credit Suisse,"55 Finance Ave, Cairo, Turkey",UNIOUSXX,+817-9630728,88157254,David Fernandez,Maria Ivanov,+971-414349518,Singapore Intercontinental Bank,"163 Trade Tower, Dubai, Netherlands",SINGGBXX,+745-6774475,94320496,Ravi Fernandez,David Williams,+44-250369288,David Fernandez,CEO,2025-04-29,Signed Electronically,Ravi Fernandez,Managing Director,2025-05-04,Signed Electronically
Deutsche Bank,"69 Finance Ave, Cairo, Singapore",DEUTGBXX,+717-8613022,56373317,Ali Brown,Michael Garcia,+65-716183527,Standard Chartered,"165 Trade Tower, Tokyo, USA",STANGBXX,+703-6781334,29546769,James Petrov,Maria Garcia,+1-656199216,Ali Brown,Trade Director,2025-08-11,Signed Electronically,James Petrov,Sales Director,2025-08-16,Signed Electronically
Union Credit Suisse,"111 Finance Ave, Tokyo, USA",UNIODEXX,+994-1371906,73043237,Linda Martinez,Ahmed Williams,+44-215108193,HSBC,"110 Trade Tower, Rotterdam, UAE",HSBCDEXX,+404-5366112,69527855,Fatima Petrov,Laura Lee,+1-903415600,Linda Martinez,Procurement Manager,2024-10-24,Signed Electronically,Fatima Petrov,Export Manager,2024-10-26,Signed Electronically
HSBC,"166 Finance Ave, Rotterdam, China",HSBCSGXX,+451-4853713,97624342,Omar Lee,Michael Ibrahim,+1-800986999,BNP Paribas,"127 Trade Tower, Cairo, USA",BNPSGXX,+223-9487101,25649357,Hassan Singh,David Silva,+971-938754823,Omar Lee,Managing Partner,2025-09-28,Signed Electronically,Hassan Singh,Export Manager,2025-10-03,Signed Electronically
EuroCommerce Bank AG,"21 Finance Ave, Rotterdam, Singapore",EUROSGXX,+900-6810751,56485588,Laura Haddad,John Costa,+65-296819474,HSBC,"111 Trade Tower, London, Netherlands",HSBCGBXX,+266-9536552,93917456,Nadia Martinez,Omar Silva,+44-890899444,Laura Haddad,Trade Director,2025-05-30,Signed Electronically,Nadia Martinez,Managing Director,2025-06-03,Signed Electronically
BNP Paribas,"89 Finance Ave, Istanbul, Netherlands",BNPAEXX,+247-5313311,51326631,Omar Costa,Emma Garcia,+1-872382328,Standard Chartered,"136 Trade Tower, Istanbul, Germany",STANGBXX,+337-8494333,31803038,Sophia Costa,George Johnson,+65-184313029,Omar Costa,Procurement Manager,2025-03-01,Signed Electronically,Sophia Costa,Sales Director,2025-03-04,Signed Electronically
Emirates National Bank,"50 Finance Ave, Rotterdam, Switzerland",EMIRAEXX,+727-4267119,22099099,Ali Nakamura,Ravi Williams,+1-463998311,Citibank,"153 Trade Tower, London, USA",CITIAEXX,+629-5930006,27847974,David Martinez,Nadia Khan,+44-815973346,Ali Nakamura,Trade Director,2025-01-12,Signed Electronically,David Martinez,Managing Director,2025-01-17,Signed Electronically
Union Credit Suisse,"114 Finance Ave, Abu Dhabi, USA",UNIOGBXX,+971-1019845,54385651,Laura Fernandez,Yuki Diop,+971-104891693,HSBC,"10 Trade Tower, Geneva, UAE",HSBCDEXX,+291-2103430,63608317,George Lee,Sophia Costa,+1-242287418,Laura Fernandez,Managing Partner,2025-05-03,Signed Electronically,George Lee,Managing Director,2025-05-04,Signed Electronically
Union Credit Suisse,"120 Finance Ave, London, Netherlands",UNIOSGXX,+553-6390202,81332076,Laura Costa,Ali Williams,+971-214725349,BNP Paribas,"103 Trade Tower, Cairo, Netherlands",BNPGBXX,+942-6263207,37058848,Laura Johnson,Omar Fernandez,+65-804883054,Laura Costa,Trade Director,2025-10-22,Signed Electronically,Laura Johnson,Sales Director,2025-10-26,Signed Electronically
EuroCommerce Bank AG,"160 Finance Ave, Mumbai, Japan",EURODEXX,+173-9112747,35510600,Hassan Ibrahim,Ali Diop,+44-895262527,Deutsche Bank,"91 Trade Tower, New York, Turkey",DEUTUSXX,+318-6228442,55073110,David Khan,Ali Muller,+971-785753939,Hassan Ibrahim,Managing Partner,2025-05-23,Signed Electronically,David Khan,Export Manager,2025-05-26,Signed Electronically
EuroCommerce Bank AG,"141 Finance Ave, Rotterdam, USA",EUROGBXX,+704-6588705,71862248,Fatima Ivanov,Yuki Brown,+65-658820934,Citibank,"134 Trade Tower, Dubai, Singapore",CITIAEXX,+836-1705032,17135998,Nadia Chen,Carlos Martinez,+44-291634024,Fatima Ivanov,CEO,2025-10-08,Signed Electronically,Nadia Chen,Sales Director,2025-10-11,Signed Electronically
Union Credit Suisse,"180 Finance Ave, Hong Kong, China",UNIODEXX,+390-9348351,17671093,Maria Singh,John Muller,+971-692221982,Singapore Intercontinental Bank,"156 Trade Tower, Abu Dhabi, UAE",SINGGBXX,+410-2892990,44725822,John Williams,Maria Garcia,+44-862452045,Maria Singh,Procurement Manager,2024-11-28,Signed Electronically,John Williams,Export Manager,2024-12-02,Signed Electronically
HSBC,"173 Finance Ave, Istanbul, China",HSBCAEXX,+715-2629415,63041978,Ali Muller,Michael Smith,+44-650403149,Emirates National Bank,"185 Trade Tower, Cairo, Netherlands",EMIRAEXX,+200-3370992,18851440,Sarah Silva,Nadia Fernandez,+1-434970219,Ali Muller,CEO,2025-05-30,Signed Electronically,Sarah Silva,Sales Director,2025-06-01,Signed Electronically
Standard Chartered,"142 Finance Ave, London, India",STANUSXX,+561-8673164,34978809,Ravi Johnson,Hassan Petrov,+1-267042362,EuroCommerce Bank AG,"82 Trade Tower, Dubai, Japan",EUROSGXX,+318-8313831,26861349,Ahmed Lee,John Ibrahim,+65-165953433,Ravi Johnson,Procurement Manager,2025-06-30,Signed Electronically,Ahmed Lee,Export Manager,2025-07-02,Signed Electronically
BNP Paribas,"49 Finance Ave, Hamburg, Qatar",BNPSGXX,+343-5886395,86911210,David Costa,Fatima Khan,+1-782797087,Citibank,"91 Trade Tower, Cairo, Japan",CITIUSXX,+956-4379659,95464838,Ravi Costa,Ravi Chen,+1-305356020,David Costa,Procurement Manager,2025-02-22,Signed Electronically,Ravi Costa,Managing Director,2025-02-27,Signed Electronically
Standard Chartered,"125 Finance Ave, Houston, Switzerland",STANUSXX,+534-3605877,67952942,Sarah Petrov,Ali Fernandez,+1-248530109,HSBC,"36 Trade Tower, Istanbul, Japan",HSBCDEXX,+701-8328385,27959043,Fatima Petrov,Sarah Chen,+971-123164221,Sarah Petrov,Trade Director,2025-06-15,Signed Electronically,Fatima Petrov,Managing Director,2025-06-19,Signed Electronically
EuroCommerce Bank AG,"161 Finance Ave, Abu Dhabi, USA",EUROAEXX,+369-8983402,63295432,George Diop,Fatima Ibrahim,+971-697736232,Emirates National Bank,"17 Trade Tower, Rotterdam, UK",EMIRSGXX,+152-2514146,57996522,James Johnson,Sophia Ivanov,+971-853817417,George Diop,CEO,2025-02-09,Signed Electronically,James Johnson,Sales Director,2025-02-12,Signed Electronically
Singapore Intercontinental Bank,"34 Finance Ave, Cairo, Germany",SINGAEXX,+225-2120507,11257369,Emma Martinez,John Lee,+65-529937285,Singapore Intercontinental Bank,"69 Trade Tower, Tokyo, Egypt",SINGSGXX,+384-4226677,36393184,John Haddad,Hassan Petrov,+44-295575586,Emma Martinez,Trade Director,2025-09-24,Signed Electronically,John Haddad,Sales Director,2025-09-29,Signed Electronically
BNP Paribas,"152 Finance Ave, Cairo, Egypt",BNPGBXX,+854-1325773,36176340,Ali Ibrahim,Sophia Williams,+65-516354826,HSBC,"47 Trade Tower, Tokyo, Japan",HSBCSGXX,+556-7387201,92720130,Fatima Martinez,Ravi Diop,+44-677386684,Ali Ibrahim,Managing Partner,2024-11-08,Signed Electronically,Fatima Martinez,Export Manager,2024-11-12,Signed Electronically
BNP Paribas,"95 Finance Ave, Hong Kong, Germany",BNPAEXX,+925-7806693,96087713,Linda Singh,James Petrov,+65-714937609,Standard Chartered,"190 Trade Tower, Geneva, UK",STANGBXX,+975-8827025,55911690,Laura Ivanov,James Fernandez,+44-338715554,Linda Singh,Trade Director,2025-08-19,Signed Electronically,Laura Ivanov,Export Manager,2025-08-24,Signed Electronically
Emirates National Bank,"105 Finance Ave, Hamburg, Singapore",EMIRGBXX,+602-7448824,46432551,Michael Nakamura,Maria Garcia,+1-192616153,BNP Paribas,"90 Trade Tower, London, UAE",BNPGBXX,+874-1440318,18426337,Maria Johnson,Nadia Fernandez,+971-351546883,Michael Nakamura,Trade Director,2025-03-13,Signed Electronically,Maria Johnson,Managing Director,2025-03-17,Signed Electronically
HSBC,"112 Finance Ave, Mumbai, Germany",HSBCAEXX,+650-5296012,66873249,Laura Johnson,Fatima Diop,+1-997760008,Citibank,"111 Trade Tower, Geneva, UAE",CITIUSXX,+395-5984538,22552395,John Fernandez,Emma Costa,+1-300122089,Laura Johnson,CEO,2025-06-25,Signed Electronically,John Fernandez,Sales Director,2025-06-29,Signed Electronically
HSBC,"39 Finance Ave, London, Japan",HSBCUSXX,+743-2111227,34141596,David Muller,Laura Williams,+44-157325257,Standard Chartered,"118 Trade Tower, London, UK",STANGBXX,+586-6274534,99593832,Michael Fernandez,David Johnson,+1-375983251,David Muller,CEO,2025-08-16,Signed Electronically,Michael Fernandez,Sales Director,2025-08-18,Signed Electronically
First Global Bank & Trust,"32 Finance Ave, Houston, Germany",FIRSAEXX,+608-5819707,28072184,Ahmed Petrov,George Martinez,+65-326503745,EuroCommerce Bank AG,"85 Trade Tower, Rotterdam, UK",EURODEXX,+382-8054837,57289975,Fatima Fernandez,Sarah Johnson,+1-805829954,Ahmed Petrov,CEO,2025-06-23,Signed Electronically,Fatima Fernandez,Managing Director,2025-06-25,Signed Electronically
Deutsche Bank,"136 Finance Ave, Mumbai, Netherlands",DEUTDEXX,+481-7391041,93221328,James Muller,James Smith,+1-778968939,First Global Bank & Trust,"68 Trade Tower, Cairo, Qatar",FIRSSGXX,+989-1632906,37082646,Maria Brown,Ahmed Brown,+44-509020863,James Muller,Managing Partner,2024-12-08,Signed Electronically,Maria Brown,Export Manager,2024-12-10,Signed Electronically
Citibank,"76 Finance Ave, Rotterdam, Egypt",CITIAEXX,+307-7720086,65553884,Ahmed Garcia,James Williams,+971-947503433,BNP Paribas,"136 Trade Tower, London, Singapore",BNPDEXX,+848-4785728,59763547,Sophia Johnson,Ahmed Garcia,+971-383464849,Ahmed Garcia,Managing Partner,2024-10-23,Signed Electronically,Sophia Johnson,Export Manager,2024-10-26,Signed Electronically
Deutsche Bank,"74 Finance Ave, Abu Dhabi, Netherlands",DEUTGBXX,+240-3096645,65674202,Maria Khan,Fatima Muller,+1-730678247,Citibank,"145 Trade Tower, London, UAE",CITIDEXX,+845-3759118,52389209,David Williams,Fatima Muller,+971-883744625,Maria Khan,CEO,2025-09-23,Signed Electronically,David Williams,Managing Director,2025-09-26,Signed Electronically
BNP Paribas,"133 Finance Ave, Geneva, Japan",BNPAEXX,+925-1604775,29429083,George Khan,Omar Johnson,+971-794243247,EuroCommerce Bank AG,"61 Trade Tower, Mumbai, Netherlands",EUROAEXX,+165-9538927,49480084,Michael Nakamura,Carlos Costa,+65-305377207,George Khan,Procurement Manager,2025-10-01,Signed Electronically,Michael Nakamura,Managing Director,2025-10-06,Signed Electronically
Standard Chartered,"12 Finance Ave, Cairo, Qatar",STANSGXX,+958-1146686,30366530,Emma Garcia,Omar Ibrahim,+1-475911058,Citibank,"103 Trade Tower, Dubai, Netherlands",CITIAEXX,+901-6576754,82196391,Emma Singh,Michael Khan,+65-730402189,Emma Garcia,Procurement Manager,2024-11-25,Signed Electronically,Emma Singh,Export Manager,2024-11-29,Signed Electronically
Singapore Intercontinental Bank,"129 Finance Ave, Singapore, UAE",SINGSGXX,+847-9750395,17534491,Sophia Ivanov,Ahmed Silva,+65-318984782,HSBC,"81 Trade Tower, Houston, Egypt",HSBCGBXX,+711-1126883,81840895,David Nakamura,Yuki Chen,+44-580275255,Sophia Ivanov,Procurement Manager,2025-03-27,Signed Electronically,David Nakamura,Sales Director,2025-04-01,Signed Electronically
Citibank,"44 Finance Ave, Tokyo, UAE",CITIDEXX,+651-2973026,25266184,Maria Nakamura,James Haddad,+1-177819565,EuroCommerce Bank AG,"188 Trade Tower, New York, Turkey",EUROAEXX,+814-4068119,56930402,George Brown,Maria Petrov,+44-993122107,Maria Nakamura,CEO,2025-07-27,Signed Electronically,George Brown,Export Manager,2025-07-28,Signed Electronically
BNP Paribas,"156 Finance Ave, London, Switzerland",BNPAEXX,+138-9050177,17606434,Ahmed Martinez,Omar Ibrahim,+65-502457728,HSBC,"57 Trade Tower, Hong Kong, Egypt",HSBCSGXX,+100-9792614,51748697,Ahmed Diop,Fatima Johnson,+971-659572603,Ahmed Martinez,Procurement Manager,2025-02-08,Signed Electronically,Ahmed Diop,Managing Director,2025-02-13,Signed Electronically
Standard Chartered,"74 Finance Ave, Hong Kong, Qatar",STANSGXX,+701-1893315,42545331,Hassan Petrov,Sarah Petrov,+971-641334243,HSBC,"138 Trade Tower, Houston, UAE",HSBCSGXX,+682-8229750,61711792,George Smith,Carlos Ibrahim,+44-138586880,Hassan Petrov,Trade Director,2025-10-01,Signed Electronically,George Smith,Sales Director,2025-10-03,Signed Electronically
HSBC,"88 Finance Ave, Geneva, UK",HSBCDEXX,+162-3080369,68676555,Fatima Brown,Maria Martinez,+65-499276211,BNP Paribas,"40 Trade Tower, Doha, Singapore",BNPSGXX,+351-9639123,91853514,Carlos Costa,Maria Diop,+65-804961976,Fatima Brown,Trade Director,2024-12-17,Signed Electronically,Carlos Costa,Export Manager,2024-12-18,Signed Electronically
HSBC,"142 Finance Ave, Cairo, UK",HSBCUSXX,+336-1491830,11614043,Ravi Williams,Hassan Lee,+44-436755761,First Global Bank & Trust,"77 Trade Tower, Abu Dhabi, India",FIRSDEXX,+524-2127368,52291836,Ravi Diop,Hassan Nakamura,+44-261860692,Ravi Williams,Procurement Manager,2025-03-31,Signed Electronically,Ravi Diop,Sales Director,2025-04-04,Signed Electronically
